condition,edge_count,ef,epoch,mean_hardonly_static_dist,mean_source_query_dist,mean_static_topk_dist,n_hard_queries,recall,recall_adaptive_hardonly,recall_static_hardonly
adaptive_improved,32340,32,0,255.37949885154256,255.3649153936477,214.6728973388672,147,0.9006000000000002,0.84421768707483,0.8414965986394559
adaptive_improved,32340,64,0,255.37949885154256,255.3649153936477,214.6728973388672,147,0.9590000000000001,0.84421768707483,0.8414965986394559
adaptive_improved,32340,128,0,255.37949885154256,255.3649153936477,214.6728973388672,147,0.9888000000000001,0.84421768707483,0.8414965986394559
adaptive_improved,58062,32,1,254.66961135212173,254.60172669500366,210.248046875,117,0.8964000000000001,0.8384615384615384,0.8273504273504273
adaptive_improved,58062,64,1,254.66961135212173,254.60172669500366,210.248046875,117,0.9586000000000001,0.8384615384615384,0.8273504273504273
adaptive_improved,58062,128,1,254.66961135212173,254.60172669500366,210.248046875,117,0.9902000000000001,0.8384615384615384,0.8273504273504273
adaptive_improved,81642,32,2,256.33408963238753,256.23953812210647,210.2071075439453,108,0.9168000000000001,0.8620370370370372,0.8453703703703704
adaptive_improved,81642,64,2,256.33408963238753,256.23953812210647,210.2071075439453,108,0.9682000000000001,0.8620370370370372,0.8453703703703704
adaptive_improved,81642,128,2,256.33408963238753,256.23953812210647,210.2071075439453,108,0.9913999999999998,0.8620370370370372,0.8453703703703704
adaptive_improved,110696,32,3,259.72008279212434,259.5039123305701,213.4532928466797,133,0.8978,0.8353383458646616,0.8097744360902256
adaptive_improved,110696,64,3,259.72008279212434,259.5039123305701,213.4532928466797,133,0.9576,0.8353383458646616,0.8097744360902256
adaptive_improved,110696,128,3,259.72008279212434,259.5039123305701,213.4532928466797,133,0.9855999999999999,0.8353383458646616,0.8097744360902256
adaptive_improved,136124,32,4,257.1722733815511,256.9489491780599,211.0316925048828,120,0.8986000000000001,0.8641666666666669,0.8366666666666667
adaptive_improved,136124,64,4,257.1722733815511,256.9489491780599,211.0316925048828,120,0.9622,0.8641666666666669,0.8366666666666667
